observation_date,BAMLC0A0CMEY
2009-05-31,6.56
2009-06-01,6.68
2009-06-02,6.54
2009-06-03,6.42
2009-06-04,6.51
2009-06-05,6.66
2009-06-08,6.67
2009-06-09,6.60
2009-06-10,6.60
2009-06-11,6.51
2009-06-12,6.43
2009-06-15,6.34
2009-06-16,6.30
2009-06-17,6.28
2009-06-18,6.41
2009-06-19,6.34
2009-06-22,6.26
2009-06-23,6.22
2009-06-24,6.25
2009-06-25,6.15
2009-06-26,6.12
2009-06-29,6.11
2009-06-30,6.15
2009-07-01,6.13
2009-07-02,6.06
2009-07-03,6.06
2009-07-06,6.06
2009-07-07,6.02
2009-07-08,5.89
2009-07-09,5.99
2009-07-10,5.90
2009-07-13,5.92
2009-07-14,5.97
2009-07-15,6.06
2009-07-16,5.99
2009-07-17,6.00
2009-07-20,5.91
2009-07-21,5.78
2009-07-22,5.84
2009-07-23,5.94
2009-07-24,5.88
2009-07-27,5.88
2009-07-28,5.84
2009-07-29,5.80
2009-07-30,5.71
2009-07-31,5.57
2009-08-03,5.65
2009-08-04,5.63
2009-08-05,5.65
2009-08-06,5.59
2009-08-07,5.66
2009-08-10,5.55
2009-08-11,5.51
2009-08-12,5.52
2009-08-13,5.42
2009-08-14,5.38
2009-08-17,5.35
2009-08-18,5.40
2009-08-19,5.35
2009-08-20,5.34
2009-08-21,5.43
2009-08-24,5.36
2009-08-25,5.31
2009-08-26,5.29
2009-08-27,5.29
2009-08-28,5.26
2009-08-31,5.24
2009-09-01,5.21
2009-09-02,5.16
2009-09-03,5.18
2009-09-04,5.25
2009-09-07,5.25
2009-09-08,5.24
2009-09-09,5.24
2009-09-10,5.10
2009-09-11,5.08
2009-09-14,5.10
2009-09-15,5.10
2009-09-16,5.11
2009-09-17,5.04
2009-09-18,5.09
2009-09-21,5.08
2009-09-22,5.04
2009-09-23,5.00
2009-09-24,4.97
2009-09-25,4.96
2009-09-28,4.94
2009-09-29,4.94
2009-09-30,4.98
2009-10-01,4.91
2009-10-02,4.94
2009-10-05,4.93
2009-10-06,4.92
2009-10-07,4.86
2009-10-08,4.92
2009-10-09,5.02
2009-10-12,5.02
2009-10-13,4.94
2009-10-14,5.00
2009-10-15,5.03
2009-10-16,4.99
2009-10-19,4.96
2009-10-20,4.89
2009-10-21,4.95
2009-10-22,4.93
2009-10-23,4.97
2009-10-26,5.01
2009-10-27,4.90
2009-10-28,4.86
2009-10-29,4.93
2009-10-30,4.82
2009-10-31,4.85
2009-11-02,4.88
2009-11-03,4.92
2009-11-04,4.96
2009-11-05,4.92
2009-11-06,4.89
2009-11-09,4.87
2009-11-10,4.86
2009-11-11,4.86
2009-11-12,4.82
2009-11-13,4.81
2009-11-16,4.72
2009-11-17,4.70
2009-11-18,4.73
2009-11-19,4.70
2009-11-20,4.71
2009-11-23,4.71
2009-11-24,4.67
2009-11-25,4.65
2009-11-26,4.65
2009-11-27,4.60
2009-11-30,4.63
2009-12-01,4.67
2009-12-02,4.70
2009-12-03,4.72
2009-12-04,4.81
2009-12-07,4.74
2009-12-08,4.68
2009-12-09,4.70
2009-12-10,4.72
2009-12-11,4.75
2009-12-14,4.73
2009-12-15,4.76
2009-12-16,4.74
2009-12-17,4.63
2009-12-18,4.67
2009-12-21,4.76
2009-12-22,4.80
2009-12-23,4.80
2009-12-24,4.84
2009-12-25,
2009-12-28,4.87
2009-12-29,4.84
2009-12-30,4.81
2009-12-31,4.89
2010-01-01,
2010-01-04,4.86
2010-01-05,4.74
2010-01-06,4.75
2010-01-07,4.75
2010-01-08,4.70
2010-01-11,4.68
2010-01-12,4.60
2010-01-13,4.65
2010-01-14,4.60
2010-01-15,4.56
2010-01-18,4.56
2010-01-19,4.59
2010-01-20,4.56
2010-01-21,4.52
2010-01-22,4.52
2010-01-25,4.55
2010-01-26,4.55
2010-01-27,4.58
2010-01-28,4.58
2010-01-29,4.53
2010-01-31,4.55
2010-02-01,4.60
2010-02-02,4.58
2010-02-03,4.62
2010-02-04,4.56
2010-02-05,4.53
2010-02-08,4.58
2010-02-09,4.63
2010-02-10,4.69
2010-02-11,4.70
2010-02-12,4.67
2010-02-15,4.66
2010-02-16,4.64
2010-02-17,4.70
2010-02-18,4.73
2010-02-19,4.72
2010-02-22,4.70
2010-02-23,4.61
2010-02-24,4.61
2010-02-25,4.56
2010-02-26,4.52
2010-02-28,4.55
2010-03-01,4.58
2010-03-02,4.55
2010-03-03,4.56
2010-03-04,4.55
2010-03-05,4.59
2010-03-08,4.59
2010-03-09,4.57
2010-03-10,4.58
2010-03-11,4.58
2010-03-12,4.57
2010-03-15,4.54
2010-03-16,4.49
2010-03-17,4.48
2010-03-18,4.50
2010-03-19,4.51
2010-03-22,4.48
2010-03-23,4.48
2010-03-24,4.60
2010-03-25,4.63
2010-03-26,4.58
2010-03-29,4.57
2010-03-30,4.58
2010-03-31,4.56
2010-04-01,4.58
2010-04-02,
2010-04-05,4.70
2010-04-06,4.66
2010-04-07,4.57
2010-04-08,4.59
2010-04-09,4.58
2010-04-12,4.53
2010-04-13,4.50
2010-04-14,4.51
2010-04-15,4.48
2010-04-16,4.41
2010-04-19,4.45
2010-04-20,4.44
2010-04-21,4.39
2010-04-22,4.43
2010-04-23,4.47
2010-04-26,4.47
2010-04-27,4.37
2010-04-28,4.45
2010-04-29,4.40
2010-04-30,4.37
2010-05-03,4.43
2010-05-04,4.38
2010-05-05,4.36
2010-05-06,4.33
2010-05-07,4.46
2010-05-10,4.47
2010-05-11,4.48
2010-05-12,4.49
2010-05-13,4.47
2010-05-14,4.39
2010-05-17,4.41
2010-05-18,4.35
2010-05-19,4.41
2010-05-20,4.42
2010-05-21,4.41
2010-05-24,4.44
2010-05-25,4.47
2010-05-26,4.52
2010-05-27,4.60
2010-05-28,4.53
2010-05-31,4.56
2010-06-01,4.58
2010-06-02,4.63
2010-06-03,4.64
2010-06-04,4.51
2010-06-07,4.51
2010-06-08,4.53
2010-06-09,4.55
2010-06-10,4.66
2010-06-11,4.58
2010-06-14,4.59
2010-06-15,4.62
2010-06-16,4.58
2010-06-17,4.50
2010-06-18,4.52
2010-06-21,4.50
2010-06-22,4.45
2010-06-23,4.41
2010-06-24,4.43
2010-06-25,4.41
2010-06-28,4.35
2010-06-29,4.31
2010-06-30,4.33
2010-07-01,4.32
2010-07-02,4.35
2010-07-05,4.35
2010-07-06,4.29
2010-07-07,4.32
2010-07-08,4.33
2010-07-09,4.34
2010-07-12,4.32
2010-07-13,4.34
2010-07-14,4.26
2010-07-15,4.20
2010-07-16,4.16
2010-07-19,4.17
2010-07-20,4.15
2010-07-21,4.10
2010-07-22,4.12
2010-07-23,4.15
2010-07-26,4.13
2010-07-27,4.14
2010-07-28,4.09
2010-07-29,4.06
2010-07-30,3.99
2010-07-31,4.02
2010-08-02,4.05
2010-08-03,3.99
2010-08-04,4.03
2010-08-05,4.00
2010-08-06,3.93
2010-08-09,3.94
2010-08-10,3.92
2010-08-11,3.88
2010-08-12,3.91
2010-08-13,3.88
2010-08-16,3.79
2010-08-17,3.83
2010-08-18,3.82
2010-08-19,3.78
2010-08-20,3.81
2010-08-23,3.80
2010-08-24,3.73
2010-08-25,3.78
2010-08-26,3.76
2010-08-27,3.87
2010-08-30,3.79
2010-08-31,3.79
2010-09-01,3.86
2010-09-02,3.87
2010-09-03,3.91
2010-09-06,3.91
2010-09-07,3.82
2010-09-08,3.86
2010-09-09,3.94
2010-09-10,3.95
2010-09-13,3.88
2010-09-14,3.81
2010-09-15,3.84
2010-09-16,3.86
2010-09-17,3.84
2010-09-20,3.81
2010-09-21,3.72
2010-09-22,3.71
2010-09-23,3.72
2010-09-24,3.75
2010-09-27,3.68
2010-09-28,3.64
2010-09-29,3.67
2010-09-30,3.68
2010-10-01,3.68
2010-10-04,3.65
2010-10-05,3.63
2010-10-06,3.58
2010-10-07,3.56
2010-10-08,3.54
2010-10-11,3.54
2010-10-12,3.57
2010-10-13,3.57
2010-10-14,3.62
2010-10-15,3.67
2010-10-18,3.61
2010-10-19,3.59
2010-10-20,3.59
2010-10-21,3.62
2010-10-22,3.62
2010-10-25,3.61
2010-10-26,3.67
2010-10-27,3.70
2010-10-28,3.65
2010-10-29,3.60
2010-10-31,3.63
2010-11-01,3.63
2010-11-02,3.60
2010-11-03,3.61
2010-11-04,3.52
2010-11-05,3.56
2010-11-08,3.57
2010-11-09,3.66
2010-11-10,3.64
2010-11-11,3.64
2010-11-12,3.74
2010-11-15,3.85
2010-11-16,3.81
2010-11-17,3.82
2010-11-18,3.84
2010-11-19,3.83
2010-11-22,3.78
2010-11-23,3.76
2010-11-24,3.88
2010-11-25,3.88
2010-11-26,3.84
2010-11-29,3.83
2010-11-30,3.85
2010-12-01,3.98
2010-12-02,4.00
2010-12-03,3.98
2010-12-06,3.90
2010-12-07,4.06
2010-12-08,4.12
2010-12-09,4.11
2010-12-10,4.14
2010-12-13,4.11
2010-12-14,4.22
2010-12-15,4.26
2010-12-16,4.23
2010-12-17,4.11
2010-12-20,4.12
2010-12-21,4.11
2010-12-22,4.13
2010-12-23,4.17
2010-12-24,4.17
2010-12-27,4.14
2010-12-28,4.23
2010-12-29,4.11
2010-12-30,4.13
2010-12-31,4.09
2011-01-03,4.10
2011-01-04,4.10
2011-01-05,4.21
2011-01-06,4.14
2011-01-07,4.07
2011-01-10,4.05
2011-01-11,4.07
2011-01-12,4.08
2011-01-13,4.03
2011-01-14,4.04
2011-01-17,4.04
2011-01-18,4.05
2011-01-19,4.03
2011-01-20,4.11
2011-01-21,4.08
2011-01-24,4.06
2011-01-25,4.00
2011-01-26,4.06
2011-01-27,4.02
2011-01-28,3.98
2011-01-31,4.05
2011-02-01,4.10
2011-02-02,4.14
2011-02-03,4.17
2011-02-04,4.24
2011-02-07,4.22
2011-02-08,4.28
2011-02-09,4.21
2011-02-10,4.27
2011-02-11,4.23
2011-02-14,4.20
2011-02-15,4.19
2011-02-16,4.19
2011-02-17,4.14
2011-02-18,4.14
2011-02-21,4.13
2011-02-22,4.04
2011-02-23,4.07
2011-02-24,4.05
2011-02-25,4.03
2011-02-28,4.04
2011-03-01,4.04
2011-03-02,4.07
2011-03-03,4.16
2011-03-04,4.07
2011-03-07,4.08
2011-03-08,4.10
2011-03-09,4.05
2011-03-10,4.00
2011-03-11,4.00
2011-03-14,3.94
2011-03-15,3.97
2011-03-16,3.90
2011-03-17,3.93
2011-03-18,3.94
2011-03-21,3.97
2011-03-22,3.98
2011-03-23,3.99
2011-03-24,4.02
2011-03-25,4.06
2011-03-28,4.07
2011-03-29,4.10
2011-03-30,4.07
2011-03-31,4.10
2011-04-01,4.11
2011-04-04,4.08
2011-04-05,4.12
2011-04-06,4.15
2011-04-07,4.13
2011-04-08,4.14
2011-04-11,4.13
2011-04-12,4.07
2011-04-13,4.04
2011-04-14,4.06
2011-04-15,3.99
2011-04-18,3.96
2011-04-19,3.95
2011-04-20,3.98
2011-04-21,3.98
2011-04-22,
2011-04-25,3.94
2011-04-26,3.90
2011-04-27,3.93
2011-04-28,3.87
2011-04-29,3.85
2011-04-30,3.88
2011-05-02,3.88
2011-05-03,3.85
2011-05-04,3.84
2011-05-05,3.80
2011-05-06,3.79
2011-05-09,3.77
2011-05-10,3.81
2011-05-11,3.78
2011-05-12,3.82
2011-05-13,3.79
2011-05-16,3.75
2011-05-17,3.74
2011-05-18,3.78
2011-05-19,3.77
2011-05-20,3.76
