Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond (10-year),Inflation Rate,S&P 500 (Real),T. Bill (Real),T.Bond (Real),Year.1,Nominal value of $100 invested in 1928,Real value of $100 invested in 1928,Unnamed: 14,Stocks,T. Bills,T. Bonds
1939.0,-0.010975646879756443,0.0004583333333333333,0.04412261394206067,0.0,-0.010975646879756495,0.00045833333333322734,0.04412261394206074,1939.0,120.19783979098749,144.49748670860015,75th percentile,0.2597,0.0506,0.0854
1940.0,-0.10672873194221515,0.00035833333333333333,0.05402481596284551,0.0071429,-0.1130640269044394,-0.006736448885919621,0.04654941812412661,1940.0,107.36927676790187,114.65851836872122,75th percentile,0.2597,0.0506,0.0854
1941.0,-0.1277145557655955,0.0012916666666666669,-0.020221975848580105,0.09929080000000001,-0.2065016424822217,-0.08914759709926912,-0.10871807154993018,1941.0,93.656657282616,125.3233408883188,75th percentile,0.2597,0.0506,0.0854
1942.0,0.19173762945914843,0.003425,0.022948682374484164,0.0903226,0.09301378276406314,-0.07969898083374582,-0.0617926452460178,1942.0,111.61416273305268,152.22724712933382,75th percentile,0.2597,0.0506,0.0854
1943.0,0.25061310133060394,0.0038,0.0249,0.0295858,0.214675941850212,-0.02504482870684499,-0.004551150569481521,1943.0,139.5861342080017,177.12527829936266,75th percentile,0.2597,0.0506,0.0854
1944.0,0.1903067694944301,0.0038,0.025776111579070303,0.0229885,0.1635583093010624,-0.01875729785818714,0.0027249686375458992,1944.0,166.15032047534245,235.2861468581603,75th percentile,0.2597,0.0506,0.0854
1945.0,0.358210843373494,0.0038,0.03804417341923723,0.0224719,0.3283600687446706,-0.018261528752037015,0.015230025802408065,1945.0,225.6671668995912,182.383916020071,75th percentile,0.2597,0.0506,0.0854
1946.0,-0.08429147465437781,0.0038,0.031283745375695685,0.1813187,-0.22484209777969133,-0.15027164134454152,-0.12700633167349695,1946.0,206.64534862054904,176.28886265378793,75th percentile,0.2597,0.0506,0.0854
1947.0,0.052,0.006008333333333333,0.009196968062832236,0.08837210000000001,-0.033418809614836564,-0.07567610991375706,-0.07274638144175838,1947.0,217.3909067488176,181.38652162969615,75th percentile,0.2597,0.0506,0.0854
1948.0,0.057045751633986834,0.01045,0.019510369413175046,0.0273387,0.028916511793030564,-0.01643927168323356,-0.007620009434887387,1948.0,229.79213442269784,218.58516166630574,75th percentile,0.2597,0.0506,0.0854
1949.0,0.18303223684210526,0.01115,0.04663485182797314,-0.0182952,0.20507940558312976,0.029993945226711727,0.06614009815167754,1949.0,271.851502794806,270.2404457397404,75th percentile,0.2597,0.0506,0.0854
1950.0,0.30805539011316263,0.012033333333333333,0.00429595741710961,0.058026299999999996,0.2363165170026138,-0.04347053250629662,-0.0507835604681004,1950.0,355.5968235411095,315.41542516029745,75th percentile,0.2597,0.0506,0.0854
1951.0,0.2367846304454234,0.015175000000000001,-0.0029531392208319886,0.0596477,0.16716587073743794,-0.04196932622040328,-0.059077030243949835,1951.0,439.7966859908575,369.3178749135068,75th percentile,0.2597,0.0506,0.0854
1952.0,0.18150988641144306,0.017225,0.022679961918305656,0.0090669,0.17089351202724323,0.008084795963478664,0.013490742703289094,1952.0,519.6241325091871,362.68317779509886,75th percentile,0.2597,0.0506,0.0854
1953.0,-0.012082047421904465,0.018908333333333333,0.04143840258908851,0.0059903,-0.01796473328013637,0.012841111224763724,0.03523702225467651,1953.0,513.3460090986451,555.3884352287283,75th percentile,0.2597,0.0506,0.0854
1954.0,0.525633212414349,0.0093752,0.032898034558095555,-0.0037216,0.5313322183983402,0.013145723123175301,0.03675642727785289,1954.0,783.1777209412517,733.6895492113915,75th percentile,0.2597,0.0506,0.0854
1955.0,0.3259733185102835,0.017243426294820716,-0.013364391288618781,0.0037355,0.32103857889880727,0.013457655223732434,-0.017036252367898408,1955.0,1038.4727616197922,766.5900085594109,75th percentile,0.2597,0.0506,0.0854
1956.0,0.07439511873350935,0.026213888888888887,-0.022557738173154165,0.0282843,0.04484248056058937,-0.0020134617547996614,-0.049443561642586675,1956.0,1115.730066022012,666.1721639190384,75th percentile,0.2597,0.0506,0.0854
1957.0,-0.1045736018855796,0.03224566929133858,0.0679701284662499,0.030401699999999997,-0.13099289518406243,0.0017895635181295333,0.036459983001047025,1957.0,999.0541542860545,940.8980011661254,75th percentile,0.2597,0.0506,0.0854
1958.0,0.43719954988747184,0.017665461847389558,-0.020990181755274694,0.0175623,0.4123946513028951,0.00010138135757342681,-0.03788709718832417,1958.0,1435.8401808531264,1038.56316443178,75th percentile,0.2597,0.0506,0.0854
1959.0,0.12056457163557326,0.0338601593625498,-0.026466312591385065,0.0151881,0.10379994765066014,0.018392709058104417,-0.041031226224366835,1959.0,1608.9516371948275,1028.0756450133154,75th percentile,0.2597,0.0506,0.0854
