Year,S&P 500,Dividends,Dividend Yield,T.Bond rate,Return on bond,Aaa Bond Rate,Return on Aaa ,Baa Bond Rate,Return on Baa ,Returns on Real Estate
1955,45.48,2.22852,0.049,0.0296,-0.013364391288618781,0.0315,0.007836816530544771,0.0362,0.02044690004344954,0
1956,46.67,2.19349,0.047,0.0359,-0.022557738173154165,0.0375,-0.017776723510078835,0.0437,-0.023526541979620903,0.009142697847981385
1957,39.99,1.79955,0.045,0.0321,0.0679701284662499,0.0381,0.03258710443988213,0.050300000000000004,-0.007189284402542365,0.02718028244902193
1958,55.21,2.2636100000000003,0.041,0.0386,-0.020990181755274694,0.0408,0.016287536451366026,0.048499999999999995,0.06430092897336026,0.006615432236419583
1959,59.89,1.9763700000000002,0.033,0.0469,-0.026466312591385065,0.0458,0.0013915704024072828,0.0528,0.015743430895022732,0.0010951055527008702
1960,58.11,1.981551,0.0341,0.0384,0.11639503690963365,0.0435,0.06413422238199645,0.051,0.06663187163303434,0.007658674403288712
1961,71.55,2.039175,0.028500000000000004,0.0406,0.020609208076323167,0.044199999999999996,0.03793924579815568,0.051,0.051,0.009771651721183439
1962,63.1,2.1454,0.033999999999999996,0.0386,0.05693544054008462,0.0424,0.05862673314530984,0.0492,0.06495327993606576,0.0032259132567571402
1963,75.02,2.348126,0.0313,0.0413,0.016841620739546127,0.0435,0.033631458860784454,0.048499999999999995,0.054644805711862345,0.021436503273133845
1964,84.75,2.584875,0.0305,0.0418,0.037280648911540815,0.0444,0.036357498175775174,0.0481,0.05161739272285027,0.012591593946911894
1965,92.43,2.828358,0.0306,0.0462,0.007188550935926234,0.046799999999999994,0.025576433994000343,0.050199999999999995,0.03190009462253881,0.01658002301182071
1966,80.33,2.883847,0.0359,0.0484,0.029079409324299622,0.053899999999999997,-0.007000645768695815,0.061799999999999994,-0.03445361597577637,0.012232822442514779
1967,96.47,2.980923,0.030900000000000004,0.057,-0.015806209932824666,0.061900000000000004,-0.004454276726093172,0.0693,0.008952266148446825,0.023161882062522565
1968,103.86,3.043098,0.0293,0.0603,0.032746196950768365,0.0645,0.04316522905760194,0.0723,0.04845146224309746,0.04133876165557093
1969,92.06,3.240512,0.035199999999999995,0.0765,-0.050140493209926106,0.07719999999999999,-0.021804851328215524,0.08650000000000001,-0.02025164250792147,0.06994349850457349
1970,92.15,3.18839,0.0346,0.0639,0.16754737183412338,0.0764,0.08265633351676632,0.09119999999999999,0.05649567656988873,0.08215496440358683
1971,102.09,3.16479,0.031,0.0593,0.09786896619712297,0.0725,0.10347820104742242,0.08380000000000001,0.1400146617421994,0.04244923829722014
1972,118.05,3.18735,0.027,0.0636,0.02818449050444969,0.0708,0.08439605896884504,0.0793,0.11409093579389698,0.029757435694738765
1973,97.55,3.60935,0.037000000000000005,0.0674,0.036586646024150085,0.0768,0.029951880508655077,0.0848,0.043180404854323576,0.034220275692410596
1974,68.56,3.722808,0.0543,0.0743,0.019886086932378574,0.0889,-0.0012310591515394126,0.1063,-0.04380719797719167,0.10073521479539305
1975,90.19,3.733866,0.0414,0.08,0.03605253602603384,0.08789999999999999,0.0953774072759104,0.1056,0.11049964074144952,0.06757590093605481
1976,107.46,4.223178,0.0393,0.0687,0.1598456074290921,0.07980000000000001,0.1423007238393551,0.09119999999999999,0.19752813987098014,0.08197959954665657
1977,95.1,4.85961,0.0511,0.0769,0.012899606071070449,0.0819,0.06582879510261744,0.08990000000000001,0.09954662852090639,0.14664804469273762
1978,96.11,5.180329,0.0539,0.0901,-0.007775806907508648,0.0916,0.02008474307948263,0.09939999999999999,0.03137584977169086,0.15712545676004863
1979,107.94,5.969082,0.0553,0.1039,0.006707203124723546,0.1074,-0.0024730935003710736,0.1206,-0.020091101436615355,0.13736842105263158
1980,135.76,6.435024,0.047400000000000005,0.1284,-0.02989744251999403,0.1321,-0.025510823097555202,0.1514,-0.033156783371910456,0.07403979639055991
1981,122.55,6.826035,0.0557,0.1372,0.08199215335892354,0.1423,0.07936976425152531,0.1655,0.08462399480891206,0.05084015510555795
1982,140.64,6.933552,0.049300000000000004,0.1054,0.32814549486295586,0.1183,0.27885424288106153,0.1414,0.2905245565590866,0.005740057400573928
1983,164.93,7.124976,0.0432,0.1183,0.032002094451429264,0.1255,0.07851818352094624,0.1375,0.16194289622798344,0.04749286587851609
1984,167.24,7.826832,0.046799999999999994,0.115,0.13733364344102345,0.1215,0.14796279212681412,0.134,0.15619207332454216,0.04670169293636883
1985,211.28,8.197664,0.0388,0.0926,0.2571248821260641,0.09910000000000001,0.25967206594531983,0.1158,0.23862641849916477,0.07473508087005021
1986,242.17,8.185346,0.0338,0.0711,0.24284215141767618,0.08529999999999999,0.1895256949661746,0.0999,0.21354060117746398,0.09617713198408562
1987,247.08,9.166668,0.037099999999999994,0.0899,-0.04960508937926228,0.10060000000000001,-0.008470046679026788,0.11220000000000001,0.028125853555458283,0.07849139971595398
1988,277.72,10.220096,0.03679999999999999,0.0911,0.08223595843484167,0.09609999999999999,0.12871994621968308,0.1069,0.14382285179475657,0.07220824066487186
1989,353.4,11.73288,0.0332,0.0784,0.17693647159446219,0.08869999999999999,0.14386362626980134,0.0984,0.1594897490135725,0.0439280012008898
1990,330.22,12.350228,0.037399999999999996,0.0808,0.06235375333553336,0.09050000000000001,0.07717359602344319,0.1043,0.06280716561947859,-0.006875996758085368
1991,417.09,12.971499,0.031100000000000003,0.0709,0.15004510019517303,0.0816,0.14979112964226093,0.091,0.1892804287395004,-0.0016979939977885827
1992,435.71,12.63559,0.029,0.0677,0.09361637316207942,0.0791,0.09844351503261206,0.0876,0.11305244549445928,0.008174782115686341
1993,466.45,12.68744,0.027200000000000002,0.0577,0.14210957589263107,0.07,0.14301459202248662,0.07769999999999999,0.15472450683005834,0.021565986163242234
1994,459.27,13.364757,0.029100000000000004,0.0781,-0.08036655550998592,0.0849,-0.027807661421247742,0.09140000000000001,-0.009682695378854356,0.025156185989348767
1995,615.93,14.16639,0.023000000000000003,0.0571,0.23480780112538907,0.06709999999999999,0.21161302520080752,0.0738,0.21287256523842943,0.017920251757683303
1996,740.74,14.888874,0.0201,0.063,0.01428607793401844,0.0727,0.02825418120157691,0.0797,0.034156893562299034,0.024254097556188015
1997,970.43,15.522,0.015994971301381864,0.0581,0.09939130272977531,0.06709999999999999,0.11256477197328786,0.0728,0.12754162725001839,0.040220867419660244
