Date,stock_weight,bond_weight,portfolio_value
2020-03-24,0.5,0.5,11087.31386370124
2020-03-25,0.5,0.5,11034.498836787898
2020-03-26,0.5,0.5,10840.850453083116
2020-03-27,0.5,0.5,10622.626366398385
2020-03-30,0.5,0.5,10464.226991397834
2020-03-31,0.5,0.5,10371.970383193837
2020-04-01,0.5,0.5,10110.853493442857
2020-04-02,0.5,0.5,10145.647274428953
2020-04-03,0.5,0.5,10141.75728763843
2020-04-06,0.5,0.5,10446.50787972411
2020-04-07,0.5,0.5,10503.33165633204
2020-04-08,0.5,0.5,10394.304461587233
2020-04-09,0.5,0.5,10120.358503314945
2020-04-13,0.5,0.5,9854.360816510847
2020-04-14,0.5,0.5,9820.320304817717
2020-04-15,0.5,0.5,9621.221412626779
2020-04-16,0.5,0.5,9580.578954587996
2020-04-17,0.5,0.5,9720.977397779941
2020-04-20,0.5,0.5,9703.69099475504
2020-04-21,0.5,0.5,9579.029344140768
2020-04-22,0.5,0.5,9662.21710075902
2020-04-23,0.5,0.5,9664.722444849438
2020-04-24,0.5,0.5,9628.240828409262
2020-04-27,0.5,0.5,9770.1869193545
2020-04-28,0.5,0.5,9744.498981526947
2020-04-29,0.5,0.5,9767.353394307307
2020-04-30,0.5,0.5,9525.686278757325
2020-05-01,0.5,0.5,9459.49170720345
2020-05-04,0.5,0.5,9435.417830320765
2020-05-05,0.5,0.5,9524.970420514514
2020-05-06,0.5,0.5,9564.115803621604
2020-05-07,0.5,0.5,9497.804681392217
2020-05-08,0.5,0.5,9632.397268313136
2020-05-11,0.5,0.5,9737.047986591553
2020-05-12,0.5,0.5,9655.413685891135
2020-05-13,0.5,0.5,9469.945984577978
2020-05-14,0.5,0.5,9400.968636971389
2020-05-15,0.5,0.5,9421.08667151069
2020-05-18,0.5,0.5,9590.567117793871
2020-05-19,0.5,0.5,9463.553785996528
2020-05-20,0.5,0.5,9349.539010277478
2020-05-21,0.5,0.5,9293.40685616635
2020-05-22,0.5,0.5,9223.74682210207
2020-05-26,0.5,0.5,9289.318636176688
2020-05-27,0.5,0.5,9257.223015644851
2020-05-28,0.5,0.5,9288.350660487231
2020-05-29,0.5,0.5,9148.263437940197
2020-06-01,0.5,0.5,9204.968123205716
2020-06-02,0.5,0.5,9177.684958681908
2020-06-03,0.5,0.5,9233.22950660771
2020-06-04,0.5,0.5,9230.236200004267
2020-06-05,0.5,0.5,9276.72272693417
2020-06-08,0.5,0.5,9211.01036281105
2020-06-09,0.5,0.5,9156.9716800188
2020-06-10,0.5,0.5,9079.166736820662
2020-06-11,0.5,0.5,8978.342120886382
2020-06-12,0.5,0.5,8986.182418530698
2020-06-15,0.5,0.5,8992.785060507338
2020-06-16,0.5,0.5,8947.302327220814
2020-06-17,0.5,0.5,8890.451597953099
2020-06-18,0.5,0.5,8820.993940192637
2020-06-19,0.5,0.5,8851.441916156287
2020-06-22,0.5,0.5,8822.835932352258
2020-06-23,0.5,0.5,8851.084465884327
2020-06-24,0.5,0.5,8815.063713137379
2020-06-25,0.5,0.5,8794.134930174047
2020-06-26,0.5,0.5,8737.037774110418
2020-06-29,0.5,0.5,8708.840177307264
2020-06-30,0.5,0.5,8790.998409796783
2020-07-01,0.5,0.5,8795.115065554557
2020-07-02,0.5,0.5,8768.051356823518
2020-07-06,0.5,0.5,8750.882637896311
2020-07-07,0.5,0.5,8691.974409309933
2020-07-08,0.5,0.5,8675.118323068904
2020-07-09,0.5,0.5,8624.650700625307
2020-07-10,0.5,0.5,8675.464468488071
2020-07-13,0.5,0.5,8720.922150556917
2020-07-14,0.5,0.5,8633.071003429039
2020-07-15,0.5,0.5,8662.658674755563
2020-07-16,0.5,0.5,8596.881307182077
2020-07-17,0.5,0.5,8593.438843870908
2020-07-20,0.5,0.5,8584.653992268682
2020-07-21,0.5,0.5,8524.263115677822
2020-07-22,0.5,0.5,8483.851344686156
2020-07-23,0.5,0.5,8441.432958360574
2020-07-24,0.5,0.5,8395.335882314677
2020-07-27,0.5,0.5,8435.293073955445
2020-07-28,0.5,0.5,8395.235591096918
2020-07-29,0.5,0.5,8422.43707853852
2020-07-30,0.5,0.5,8361.195819448943
2020-07-31,0.5,0.5,8388.522763119216
2020-08-03,0.5,0.5,8449.539701323713
2020-08-04,0.5,0.5,8367.237251363787
2020-08-05,0.5,0.5,8397.511986477111
2020-08-06,0.5,0.5,8378.620397226137
2020-08-07,0.5,0.5,8402.91087328505
2020-08-10,0.5,0.5,8416.382940856995
2020-08-11,0.5,0.5,8572.85837771179
2020-08-12,0.5,0.5,8581.580662005013
2020-08-13,0.5,0.5,8669.227459089205
2020-08-14,0.5,0.5,8679.947787714014
2020-08-17,0.5,0.5,8669.802980604147
2020-08-18,0.5,0.5,8679.361866506322
2020-08-19,0.5,0.5,8685.08832951023
2020-08-20,0.5,0.5,8651.991897457632
2020-08-21,0.5,0.5,8641.718778812592
2020-08-24,0.5,0.5,8682.551542234296
2020-08-25,0.5,0.5,8742.180790359997
2020-08-26,0.5,0.5,8811.036632706586
2020-08-27,0.5,0.5,8925.293142625633
2020-08-28,0.5,0.5,8891.331439990674
2020-08-31,0.5,0.5,8854.114355075404
2020-09-01,0.5,0.5,8804.0765528312
2020-09-02,0.5,0.5,8811.662291356535
2020-09-03,0.5,0.5,8760.27324471136
2020-09-04,0.5,0.5,8837.478979738193
2020-09-08,0.5,0.5,8667.32682538843
2020-09-09,0.5,0.5,8768.542048679508
2020-09-10,0.5,0.5,8747.619259833771
2020-09-11,0.5,0.5,8631.393256970196
2020-09-14,0.5,0.5,8674.922335546731
2020-09-15,0.5,0.5,8696.017449333614
2020-09-16,0.5,0.5,8708.020721126155
2020-09-17,0.5,0.5,8617.667899756547
2020-09-18,0.5,0.5,8623.183379377955
2020-09-21,0.5,0.5,8524.827545327986
2020-09-22,0.5,0.5,8569.896196964184
2020-09-23,0.5,0.5,8617.321459068846
2020-09-24,0.5,0.5,8624.388070533734
2020-09-25,0.5,0.5,8725.493213644826
2020-09-28,0.5,0.5,8796.550527253092
2020-09-29,0.5,0.5,8728.494837134731
2020-09-30,0.5,0.5,8839.631442282765
2020-10-01,0.5,0.5,8844.346010914192
2020-10-02,0.5,0.5,8829.365538574866
2020-10-05,0.5,0.5,8925.256151709365
2020-10-06,0.5,0.5,8868.218059014494
2020-10-07,0.5,0.5,8904.841229191408
2020-10-08,0.5,0.5,8888.929333779888
2020-10-09,0.5,0.5,8934.131113245072
2020-10-13,0.5,0.5,8890.925196540764
2020-10-14,0.5,0.5,8860.950595574888
2020-10-15,0.5,0.5,8856.901682173559
2020-10-16,0.5,0.5,8890.76469565233
2020-10-19,0.5,0.5,8873.89727834776
2020-10-20,0.5,0.5,8885.975440453512
2020-10-21,0.5,0.5,8892.5470292591
2020-10-22,0.5,0.5,8930.796117166043
2020-10-23,0.5,0.5,8894.88312208204
2020-10-26,0.5,0.5,8818.939785648525
2020-10-27,0.5,0.5,8734.178491865678
2020-10-28,0.5,0.5,8692.213062266534
2020-10-29,0.5,0.5,8776.843455782708
2020-10-30,0.5,0.5,8772.214066017359
2020-11-02,0.5,0.5,8805.671231299817
2020-11-03,0.5,0.5,8884.139023099078
2020-11-04,0.5,0.5,8817.813637659843
2020-11-05,0.5,0.5,8805.13935576485
2020-11-06,0.5,0.5,8840.974959320982
2020-11-09,0.5,0.5,9086.897443381838
2020-11-10,0.5,0.5,8998.880947542322
2020-11-12,0.5,0.5,8902.434251530116
2020-11-13,0.5,0.5,8933.16467927234
2020-11-16,0.5,0.5,8953.807076414938
2020-11-17,0.5,0.5,8878.620571888598
2020-11-18,0.5,0.5,8850.693330265605
2020-11-19,0.5,0.5,8763.180307635856
2020-11-20,0.5,0.5,8689.12103483389
2020-11-23,0.5,0.5,8745.99582381377
2020-11-24,0.5,0.5,8809.949734084177
2020-11-25,0.5,0.5,8801.713714507048
2020-11-27,0.5,0.5,8719.238666588653
2020-11-30,0.5,0.5,8707.120186930362
2020-12-01,0.5,0.5,8854.284415762939
2020-12-02,0.5,0.5,8821.84591966662
2020-12-03,0.5,0.5,8765.601377892935
2020-12-04,0.5,0.5,8856.27466090938
2020-12-07,0.5,0.5,8783.470123885127
2020-12-08,0.5,0.5,8796.583337672217
2020-12-09,0.5,0.5,8896.35438082314
2020-12-10,0.5,0.5,8785.129607197656
2020-12-11,0.5,0.5,8746.491522832659
2020-12-14,0.5,0.5,8784.308258134452
2020-12-15,0.5,0.5,8805.29377125508
2020-12-16,0.5,0.5,8776.992369637832
2020-12-17,0.5,0.5,8793.369809275464
2020-12-18,0.5,0.5,8795.234455786831
2020-12-21,0.5,0.5,8791.049781090125
2020-12-22,0.5,0.5,8714.263217652007
2020-12-23,0.5,0.5,8777.436242054571
2020-12-24,0.5,0.5,8744.810101975494
2020-12-28,0.5,0.5,8740.337180582192
2020-12-29,0.5,0.5,8734.430436872346
2020-12-30,0.5,0.5,8696.80851303556
2020-12-31,0.5,0.5,8714.88905868279
2021-01-04,0.5,0.5,8726.234080944607
2021-01-05,0.5,0.5,8786.514318700394
2021-01-06,0.5,0.5,8983.693047416418
2021-01-07,0.5,0.5,9017.54481396773
2021-01-08,0.5,0.5,9059.310088470469
2021-01-11,0.5,0.5,9072.69849870424
2021-01-12,0.5,0.5,9088.036529090641
2021-01-13,0.5,0.5,9005.508150361382
2021-01-14,0.5,0.5,9032.57020020075
2021-01-15,0.5,0.5,8943.591621191568
2021-01-19,0.5,0.5,8914.413549737403
2021-01-20,0.5,0.5,8979.106646028065
2021-01-21,0.5,0.5,9029.61969331904
2021-01-22,0.5,0.5,9018.933324848407
2021-01-25,0.5,0.5,8978.80411011244
2021-01-26,0.5,0.5,8992.379608725667
2021-01-27,0.5,0.5,8928.50255081389
2021-01-28,0.5,0.5,8993.924046369479
2021-01-29,0.5,0.5,8956.396344806157
2021-02-01,0.5,0.5,8987.648527216632
2021-02-02,0.5,0.5,9081.213906525702
2021-02-03,0.5,0.5,9110.333970970176
2021-02-04,0.5,0.5,9139.825462600857
2021-02-05,0.5,0.5,9165.95343805419
2021-02-08,0.5,0.5,9142.923264138191
2021-02-09,0.5,0.5,9145.935373658758
2021-02-10,0.5,0.5,9112.890966715822
2021-02-11,0.5,0.5,9130.871112493387
2021-02-12,0.5,0.5,9216.794511030086
2021-02-16,0.5,0.5,9352.883288185483
2021-02-17,0.5,0.5,9309.112913291996
2021-02-18,0.5,0.5,9271.481713266356
2021-02-19,0.5,0.5,9353.13252188421
2021-02-22,0.5,0.5,9391.64052571908
2021-02-23,0.5,0.5,9430.248898443178
2021-02-24,0.5,0.5,9516.472194961614
2021-02-25,0.5,0.5,9745.322682085454
2021-02-26,0.5,0.5,9574.867551846457
2021-03-01,0.5,0.5,9641.104027940408
2021-03-02,0.5,0.5,9585.23138531502
2021-03-03,0.5,0.5,9638.211254593694
2021-03-04,0.5,0.5,9736.291618758352
2021-03-05,0.5,0.5,9791.111149292336
2021-03-08,0.5,0.5,9961.956159938924
2021-03-09,0.5,0.5,9969.049700991814
2021-03-10,0.5,0.5,9942.09534807583
2021-03-11,0.5,0.5,9974.2682727678
2021-03-12,0.5,0.5,10112.278239941963
2021-03-15,0.5,0.5,10100.27680239026
2021-03-16,0.5,0.5,10114.218415283927
2021-03-17,0.5,0.5,10117.813459293495
2021-03-18,0.5,0.5,10188.861866123762
2021-03-19,0.5,0.5,10138.169352503965
2021-03-22,0.5,0.5,10082.883081842632
2021-03-23,0.5,0.5,10030.587837428046
2021-03-24,0.5,0.5,9999.344570639123
